Sample,Form,Time,MEAN,SD
Serum,ER,2,676.25,496.47249999999997
Serum,ER,4,771.4649999999999,489.095
Serum,ER,8,534.9300000000001,210.31750000000002
Serum,ER,12,384.5625,165.01250000000002
Serum,ER,16,287.5475,111.80499999999996
Serum,ER,24,246.5425,115.6825
Serum,ER,48,177.7375,85.5275
Serum,ER,72,142.115,64.91749999999999
Serum,IR,2,265.5675,276.035
Serum,IR,4,291.3375,317.4825000000001
Serum,IR,8,139.705,80.41749999999999
Serum,IR,12,104.64,62.3325
Serum,IR,16,85.255,39.0125
Serum,IR,24,63.845,29.359999999999996
Serum,IR,48,38.5875,14.739999999999998
Serum,IR,72,26.9925,14.9075
ELF,ER,2,493.3,958.3
ELF,ER,4,686.6333333333333,947.1
ELF,ER,8,438.73333333333335,347.26666666666665
ELF,ER,12,679.0333333333333,862.8666666666667
ELF,ER,16,407.325,496.275
ELF,ER,24,1986.2333333333333,1681.9666666666665
ELF,ER,48,3226.0333333333333,3248
ELF,ER,72,1042.15,984.3
ELF,IR,2,14,23.199999999999996
ELF,IR,4,12.7,26.53333333333333
ELF,IR,8,129.2,109.26666666666667
ELF,IR,12,12.433333333333334,32.23333333333334
ELF,IR,16,216.125,235.14999999999998
ELF,IR,24,157.3,299.09999999999997
ELF,IR,48,1209.5,1666.6333333333332
ELF,IR,72,-10.1,31.25
AM,ER,2,6387.5,10562.5
AM,ER,4,25845,5210
AM,ER,8,244030,331295
AM,ER,12,80605,24352.5
AM,ER,16,669630,1172137.5
AM,ER,24,428942.5,613515
AM,ER,48,119560,139395
AM,ER,72,471737.5,433050
AM,IR,2,9657.5,5945
AM,IR,4,10537.5,15807.5
AM,IR,8,18267.5,6025
AM,IR,12,11905,5150
AM,IR,16,193690,303727.5
AM,IR,24,92077.5,75632.5
AM,IR,48,106930,102050
AM,IR,72,60525,60210
Lung,ER,2,4310.5,3966.75
Lung,ER,4,9917,6820.25
Lung,ER,8,15396.666666666666,5546.666666666667
Lung,ER,12,19782.5,6067.25
Lung,ER,16,37952.25,13387.75
Lung,ER,24,25465,13947.25
Lung,ER,48,20681.5,11547.749999999998
Lung,ER,72,32612.5,26362.25
Lung,IR,2,3727,1975
Lung,IR,4,4801,2445.5
Lung,IR,8,7097,2979
Lung,IR,12,1959.5,896.75
Lung,IR,16,6820.5,2151.75
Lung,IR,24,8371.25,2715.25
Lung,IR,48,7312.5,3283.75
Lung,IR,72,2660.25,1761.75
