Sample,Time,Mean,SD,Dose
Plasma,4,120.49999999999996,0,499.99999999999983
Plasma,6,161.15000000000003,0,499.99999999999983
Plasma,12,260.13999999999993,0,499.99999999999983
Plasma,24,180.20999999999998,0,499.99999999999983
Plasma,48,159.23999999999995,0,499.99999999999983
Plasma,60,139.83999999999997,0,499.99999999999983
Plasma,72,130.03000000000006,0,499.99999999999983
Plasma,96,120.67999999999994,0,499.99999999999983
Plasma,108,120.8,0,499.99999999999983
Plasma,120,111.75000000000001,0,499.99999999999983
Plasma,156,111.38999999999997,0,499.99999999999983
Plasma,4,151.16137521157526,19.961742907675266,999.9999999999998
Plasma,6,170.9899426866971,49.709935626592824,999.9999999999998
Plasma,12,324.06997778257715,89.30499314148118,999.9999999999998
Plasma,24,241.59999813741732,32.694999617678555,999.9999999999998
Plasma,48,189.77499940719278,42.4549997055706,999.9999999999998
Plasma,60,161.12998479488544,20.694926914584627,999.9999999999998
Plasma,72,151.53499991751073,19.264999351154938,999.9999999999998
Plasma,96,139.59499919409723,19.249997402597213,999.9999999999998
Plasma,108,131.35499990483805,28.620000000000008,999.9999999999998
Plasma,120,131.06,19.094999345378366,999.9999999999998
Plasma,156,120.46499989623541,26.59499952998684,999.9999999999998
Bronchial,6,459.0797342510338,138.4037947456644,499.99999999999983
Bronchial,12,726.4300000000002,6.50999999999999,499.99999999999983
Bronchial,60,546.2344919537759,126.35490493051714,499.99999999999983
Bronchial,108,189.45498884959446,2.119976414963138,499.99999999999983
Bronchial,156,149.55999999999997,31.389998407136,499.99999999999983
Bronchial,204,131.0449976153229,29.959993324431817,499.99999999999983
Bronchial,6,867.3283495885505,252.12108202211098,999.9999999999998
Bronchial,12,1361.0499256089026,210.0999048072128,999.9999999999998
Bronchial,60,1071.7499708420803,28.600000000000026,999.9999999999998
Bronchial,108,490.9149969190188,86.35999942102828,999.9999999999998
Bronchial,156,321.06497566692013,90.95499656423497,999.9999999999998
Bronchial,204,201.44999900719785,47.89499973901243,999.9999999999998
Lung,6,6800.207149785961,967.726283615362,499.99999999999983
Lung,12,8734.499985688944,2201.9999999999995,499.99999999999983
Lung,60,9685.499987094117,158.49921135450478,499.99999999999983
Lung,108,7466.299732129687,957.449779361821,499.99999999999983
Lung,156,3634.349922613395,1075.34998953829,499.99999999999983
Lung,204,1452.7000000000005,293.9,499.99999999999983
Lung,6,11103.941642497954,6705.670436280038,999.9999999999998
Lung,12,17032.99997064521,5017.499975087198,999.9999999999998
Lung,60,18324.49999317854,8093.4996138876895,999.9999999999998
Lung,108,14298.49894219669,226.99779734614182,999.9999999999998
Lung,156,7170.699528637359,4008.299980041412,999.9999999999998
Lung,204,2928.34999957314,62.649980047881776,999.9999999999998
