Form,Sample,Time,Mean
IR,Serum,0.5,37.595
IR,Serum,1,67.465
IR,Serum,2,312.18
IR,Serum,3,317.17
IR,Serum,4,251.21
IR,Serum,6,185.73
IR,Serum,8,122.48500000000001
IR,Serum,12,89.95
IR,Serum,24,42.68
IR,Serum,48,66.91999999999999
IR,Serum,48.5,102.98
IR,Serum,49,138.32
IR,Serum,50,364.99
IR,Serum,51,485.73
IR,Serum,52,362.28
IR,Serum,54,259.74
IR,Serum,56,193.69
IR,Serum,60,143.6
IR,Serum,72,87.555
IR,Serum,96,55.295
IR,Serum,120,40.595
SR,Serum,0.5,11.77
SR,Serum,1,214.635
SR,Serum,2,435.115
SR,Serum,3,566.43
SR,Serum,4,585.99
SR,Serum,6,668.165
SR,Serum,8,492.79499999999996
SR,Serum,12,308.5466666666667
SR,Serum,24,151.08999999999997
SR,Serum,48,93.255
SR,Serum,48.5,92.63000000000001
SR,Serum,49,92.00999999999999
SR,Serum,50,90.83
SR,Serum,51,89.66
SR,Serum,52,88.27
SR,Serum,54,86.03
SR,Serum,56,83.49
SR,Serum,60,78.58
SR,Serum,72,64.055
SR,Serum,96,43.085
SR,Serum,120,34.745000000000005
IR,MNL,2,26352.5
IR,MNL,4,39689.5
IR,MNL,8,41150.5
IR,MNL,12,27002.5
IR,MNL,24,17384
IR,MNL,28,55566
IR,MNL,36,36319.5
IR,MNL,48,27060.5
IR,MNL,52,69247.5
IR,MNL,60,46515
IR,MNL,72,36167.5
IR,MNL,96,24061.5
IR,MNL,120,20382
SR,MNL,2,29189.5
SR,MNL,4,83360
SR,MNL,8,99790
SR,MNL,12,91387.5
SR,MNL,24,61830.5
SR,MNL,28,59331.5
SR,MNL,36,42926
SR,MNL,48,38826.5
SR,MNL,52,36916.5
SR,MNL,60,31730
SR,MNL,72,26730.5
SR,MNL,96,21072
SR,MNL,120,16264.5
IR,PML,2,14195
IR,PML,4,28855
IR,PML,8,39090
IR,PML,12,33843
IR,PML,24,28430.5
IR,PML,28,64154
IR,PML,36,60170.5
IR,PML,48,54626.5
IR,PML,52,86422.5
IR,PML,60,88712
IR,PML,72,76733
IR,PML,96,79484
IR,PML,120,83302
SR,PML,2,15209.5
SR,PML,4,67187.5
SR,PML,8,90320
SR,PML,12,112986.5
SR,PML,24,99725.5
SR,PML,28,94096
SR,PML,36,86656
SR,PML,48,86941.5
SR,PML,52,82478
SR,PML,60,79373.5
SR,PML,72,86719
SR,PML,96,77188
SR,PML,120,81598.5
