x,PMN
2.978,47.568
3.098,66.173
24.87,45.382
24.961,30.635
27.829,76.51
27.859,98.9
27.89,46.425
27.89,32.227
48.584,70.141
48.585,37.693
56.877,73.94
56.877,63.482
56.924,113.63
72.839,45.899
72.888,37.075
72.935,70.345
80.892,78.16
80.892,60.231
80.892,51.284
80.988,39.849
96.71,71.533
96.852,175.16
121.54,57.47
121.588,61.084
121.635,92.33
121.635,75.83
121.636,40.413
121.683,65.107
121.73,120.49
145.554,66.206
145.602,79.06
145.602,61.432
145.649,113.06
145.649,97.07
145.65,82.88
145.746,52.017
169.713,48.945
169.761,57.964
194.254,44.919
194.303,54.239
194.35,74.61
218.365,58.139
218.414,48.149
242.525,40.888
242.573,61.121
242.574,33.675
266.682,47.762
266.682,40.554
