x,Serum
0.277,0.060961
0.515,0.23391
0.516,0.09138
0.564,0.071994
0.565,0.050767
0.565,0.041236
0.611,0.24656
0.71,0.020733
0.851,0.14439
0.899,0.11344
0.994,0.29525
0.996,0.071994
0.997,0.030736
0.998,0.010083
1.043,0.09087
1.089,0.3645
1.378,0.12397
1.665,0.31469
1.717,0.010083
2.05,0.11281
2.433,0.12466
2.864,0.18583
2.96,0.19533
3.055,0.20647
3.295,0.15735
3.296,0.09214
3.297,0.071597
3.441,0.061985
5.405,0.14763
5.454,0.061814
5.501,0.11535
5.596,0.17532
5.597,0.09215
5.597,0.071996
5.644,0.12605
5.646,0.052778
5.693,0.10526
7.227,0.0722
7.322,0.10526
7.467,0.08362
7.611,0.053219
7.707,0.031953
11.063,0.021376
11.302,0.042633
11.398,0.032042
11.446,0.052342
14.993,0.032043
15.089,0.04299
15.138,0.021615
22.902,0.033128
22.949,0.065707
22.95,0.030569
22.951,0.025387
22.951,0.02085
23.046,0.035506
35.508,0.054119
35.509,0.024152
35.604,0.039127
35.653,0.031781
47.492,0.046211
47.54,0.026689
47.588,0.034925
47.588,0.030319
47.589,0.021439
47.589,0.020171
47.635,0.049117
47.636,0.040453
59.81,0.059476
59.906,0.068891
59.906,0.049531
59.954,0.08458
71.508,0.018563
71.555,0.029823
71.555,0.028529
71.602,0.055497
71.603,0.025393
71.65,0.059645
71.699,0.030746
71.746,0.040011
83.92,0.09504
83.921,0.03849
83.969,0.047651
84.016,0.08745
95.329,0.08554
95.377,0.08183
95.424,0.09321
95.425,0.07467
95.425,0.056122
95.425,0.053538
95.425,0.043246
95.425,0.0408
95.426,0.023564
95.473,0.066464
95.474,0.030411
95.474,0.021504
95.474,0.020514
95.521,0.045334
95.521,0.039138
95.521,0.034933
95.522,0.028139
95.522,0.026844
95.522,0.025965
95.522,0.022355
95.569,0.037648
95.57,0.024227
95.617,0.047259
95.618,0.019461
96.192,0.056434
96.24,0.066464
96.241,0.030327
96.241,0.0193
96.289,0.021326
96.337,0.020457
96.383,0.09373
96.526,0.17933
96.526,0.16006
96.814,0.11193
96.816,0.034357
96.816,0.029092
96.816,0.028062
96.816,0.026919
96.912,0.025966
96.912,0.024294
96.958,0.08601
96.958,0.07488
96.96,0.019515
97.006,0.103
97.007,0.03744
97.008,0.023499
97.008,0.022047
97.053,0.17983
97.054,0.09452
97.104,0.020628
97.151,0.056435
97.151,0.054286
97.151,0.051358
97.151,0.04739
97.151,0.043247
97.197,0.16006
97.294,0.066097
97.295,0.045334
97.388,0.23208
97.436,0.21474
97.484,0.22324
97.772,0.27031
98.395,0.29786
98.395,0.27257
98.443,0.25502
98.541,0.051358
98.541,0.044959
98.541,0.037028
98.637,0.042889
98.733,0.047391
99.115,0.09296
99.163,0.0832
99.258,0.22889
99.258,0.21297
99.307,0.10386
99.354,0.15918
99.402,0.19008
99.45,0.20204
99.45,0.14566
99.498,0.14247
99.498,0.13219
100.265,0.16051
100.36,0.22889
100.361,0.13256
100.41,0.08228
100.457,0.15018
100.504,0.21356
100.505,0.14129
100.505,0.11318
100.552,0.19167
100.696,0.20543
101.367,0.18956
101.367,0.15018
101.463,0.16051
101.463,0.14208
101.464,0.11287
101.606,0.23144
101.607,0.21415
101.607,0.13367
101.798,0.20373
102.135,0.08251
102.374,0.14326
102.374,0.13367
102.47,0.1623
102.566,0.14893
102.614,0.11194
103.765,0.0853
103.862,0.030837
103.908,0.09245
103.909,0.07104
103.909,0.05566
103.909,0.053541
103.91,0.037859
103.957,0.066283
104.005,0.08093
104.053,0.050094
104.053,0.048187
104.053,0.042653
104.149,0.05916
107.84,0.043974
107.888,0.030752
107.935,0.066468
107.936,0.056438
107.984,0.039797
107.984,0.03807
108.08,0.047656
108.08,0.041718
112.011,0.018983
112.107,0.031268
112.154,0.066285
112.154,0.047394
112.25,0.038389
112.298,0.056596
120.015,0.037032
120.159,0.033982
120.159,0.031444
120.16,0.028221
120.208,0.019037
144.031,0.023833
144.031,0.016759
144.031,0.013463
144.078,0.027605
144.127,0.019902
144.127,0.018314
144.223,0.021569
165.889,0.01653
166.656,0.010176
167.662,0.017425
167.662,0.016576
167.759,0.013464
167.806,0.015253
167.807,0.010876
167.95,0.022487
191.821,0.010727
192.013,0.01396
192.013,0.012221
192.06,0.017378
216.028,0.011184
