x,Plasma_Mean,Plasma_MeanSD
0.478,0.15806,0.16986
0.587,0.15953,0.17152
3.642,0.21736,0.23327
3.645,0.21747,0.23337
5.642,0.28821,0.31104
5.751,0.28998,0.31427
11.723,0.31219,0.39671
11.787,0.3121,0.39639
23.767,0.25368,0.26712
23.769,0.25366,0.2671
48.044,0.15115,0.19567
48.056,0.15112,0.19563
60.082,0.14132,0.14936
60.085,0.14132,0.14935
72.123,0.10708,0.11589
72.225,0.1069,0.11571
95.818,0.07844,0.08519
95.92,0.07831,0.08508
107.635,0.05775,0.07336
107.805,0.0575,0.07323
119.932,0.049651,0.06348
120.049,0.049575,0.06338
156.045,0.028552,0.036991
156.086,0.028533,0.036968
